"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-AT4G25470",16302.8317710155,-9.48700269313049,0.227901437448672,-41.6276562330466,0,0
"gene-AT1G11210",3600.18531392822,-7.40733622730571,0.14243130715422,-52.0063767952738,0,0
"gene-AT1G76650",3287.38731339869,-6.79539867916562,0.127792418762281,-53.175288056848,0,0
"gene-AT5G37260",14588.9093427111,-6.0156185816968,0.0646807091694796,-93.004833418483,0,0
"gene-AT1G22570",2432.65725076626,-5.69894820976963,0.118846958880486,-47.9519902187867,0,0
"gene-AT1G27730",2691.1111678696,-5.54615784150077,0.109667951193586,-50.5722755019894,0,0
"gene-AT1G51090",2113.96219763484,-5.52701738574825,0.127324772696968,-43.4088140797432,0,0
"gene-AT1G07135",1614.14626125007,-5.49119000634711,0.132940993761249,-41.3054683208464,0,0
"gene-AT4G29780",4741.84364990975,-5.41114950518077,0.0911650982281434,-59.3554947052128,0,0
"gene-AT1G26790",1521.38160527266,-5.37739242470098,0.142748180457498,-37.6704796339036,0,0
"gene-AT5G20230",4272.07536060685,-5.22971928662174,0.087003691152281,-60.1091656843415,0,0
"gene-AT1G70420",4430.05051651518,-5.21637877566687,0.0811619571653682,-64.2712295002751,0,0
"gene-AT5G45340",3460.57807461486,-5.20858083461702,0.0857857953734215,-60.7161221965049,0,0
"gene-AT5G05410",1664.1578127914,-5.17152120285988,0.118980476773519,-43.4652923160152,0,0
"gene-AT1G04770",1872.44791985298,4.95790707041937,0.114322432882637,43.3677533394441,0,0
"gene-AT4G36010",2542.25184075006,-4.94502261098111,0.102811920953202,-48.0977552518641,0,0
"gene-AT3G04640",2463.0955831756,-4.75910362082116,0.091893605072121,-51.7892797554962,0,0
"gene-AT5G59820",1542.16101344623,-4.70154388628037,0.120056115992852,-39.1612192964855,0,0
"gene-AT3G07650",1731.02614171433,-4.47278982665134,0.104525980281236,-42.7911779886391,0,0
"gene-AT1G18300",2247.85746521929,-4.4671749977851,0.0903195374573965,-49.459675320993,0,0
"gene-AT5G48250",1528.43188704669,-4.41270452338832,0.108966734119,-40.4958867407122,0,0
"gene-AT3G59350",6190.77851028748,-4.23837398738654,0.0660918443466469,-64.1285476186226,0,0
"gene-AT1G74450",4692.62532764222,-4.17360815835247,0.067126158908969,-62.1755843949358,0,0
"gene-AT1G49720",1728.78513116448,-4.11913522443836,0.0909208058203479,-45.3046493294114,0,0
"gene-AT2G33830",7567.91552203546,-4.0948126284369,0.0776668650611804,-52.7227747020728,0,0
"gene-AT2G17840",9723.03633867491,-3.86723290145627,0.0632798377356324,-61.113192445477,0,0
"gene-AT2G21660",12956.5098618484,-3.74500672598844,0.0691723372785293,-54.1402368826832,0,0
"gene-AT1G18740",6781.79214446803,-3.66321105181264,0.0637757576596103,-57.4389264234892,0,0
"gene-AT5G50450",2380.32478468292,-3.65190812041698,0.0944643235576749,-38.6591252959889,0,0
"gene-AT3G48100",1581.20174576385,-3.51530927812792,0.0932050751457198,-37.7158569169326,0,0
"gene-AT1G69570",2979.43884067575,-3.49799603821713,0.0843008860441274,-41.4941787964851,0,0
"gene-AT4G30350",3599.5102193653,-3.3878897648465,0.0685142531369026,-49.4479558593005,0,0
"gene-AT3G56880",7826.89087682592,-3.34856568056096,0.0566690352180985,-59.0898657030872,0,0
"gene-AT3G62550",9208.50249443786,-3.24366684240118,0.0855484108220893,-37.9161554403024,0,0
"gene-AT1G73540",4008.35794573551,-3.17578668947011,0.0738824136208252,-42.9843386786021,0,0
"gene-AT4G33920",4926.38294827367,-3.15799587711995,0.0620925432610353,-50.8595027883432,0,0
"gene-AT2G36220",2838.89811578336,-3.12202894790145,0.0755610239221919,-41.3179809621998,0,0
"gene-AT2G31360",8246.60119519325,-3.08463042866122,0.0695794616861233,-44.3324848153634,0,0
"gene-AT1G78600",2181.36837367216,-2.96098241719323,0.0768047056036093,-38.5520964363164,0,0
"gene-AT4G18010",3894.22873330896,-2.92080047785554,0.0740153963785589,-39.4620662830314,0,0
"gene-AT3G55980",7086.45243817176,-2.91467424379061,0.0745747746041266,-39.0839162339128,0,0
"gene-AT5G45750",3063.2645132041,-2.84579885812836,0.069561206568809,-40.9107173164591,0,0
"gene-AT5G61380",3219.40500200421,-2.74385404300648,0.0679491484813883,-40.3809923204269,0,0
"gene-AT3G06500",4073.43378439278,-2.7307638891738,0.061113512097122,-44.6834717146358,0,0
"gene-AT1G09070",16872.9989625102,-2.72085800453422,0.0592659101966437,-45.9093262131036,0,0
"gene-AT4G17090",47475.2167980345,-2.65199198753521,0.0546024453788551,-48.569106550715,0,0
"gene-AT1G20450",26594.8729075854,-2.51178787546219,0.0596548156305715,-42.1053664974361,0,0
"gene-AT3G05880",7137.8076880137,-2.45015069695948,0.0644644254377078,-38.0077954673941,0,0
"gene-AT5G62350",8078.52678588821,-2.30650877207867,0.0567363435219987,-40.6531092576376,0,0
"gene-AT1G20440",30396.3018716209,-2.21552692262007,0.0575381712528654,-38.505341313046,0,0
"gene-AT4G32020",27171.5857892313,-1.99220100660557,0.053057527818521,-37.5479425543485,0,0
"gene-AT4G27310",5673.04347042368,-2.54242676299736,0.0682882047936578,-37.2308332116747,2.16444419384533e-303,9.5980612818999e-301
"gene-AT5G60680",12006.1009632934,-1.97813262543188,0.0532363008261718,-37.1575897410851,3.30612902895263e-302,1.43841564676639e-299
"gene-AT3G47500",7723.3932714268,-2.04392397566049,0.0554279088184501,-36.8753579059821,1.1476235655014e-297,4.90056514757348e-295
"gene-AT1G70640",2567.96781784159,-8.43011275998149,0.233117829573152,-36.1624538775835,2.37079512126682e-286,9.93966630932576e-284
"gene-AT2G02100",8321.82450874396,-2.13889584168613,0.0609873692698088,-35.0711281252948,1.85780385704351e-269,7.64983913206542e-267
"gene-AT5G11070",5433.65263277614,-2.79640816981305,0.0802700922082976,-34.8374854554357,6.58721539749533e-266,2.66481754124289e-263
"gene-AT2G40140",3134.20082315461,-2.44864866129424,0.0706872482264735,-34.6405995809749,6.18830006722713e-263,2.46027605603777e-260
"gene-AT1G25400",1304.20815558956,-3.86001495542318,0.111822954302452,-34.5189856546167,4.16362314414504e-261,1.62727095052272e-258
"gene-AT3G24520",4056.86589491511,-3.26708588564514,0.0947290180506584,-34.4887549018823,1.18264471070945e-260,4.54510073070822e-258
"gene-AT3G23170",1080.85099712691,-3.83922312168305,0.111531386665938,-34.4228045257108,1.14964201115255e-259,4.34583526806009e-257
"gene-AT4G29190",6631.2172887317,-2.7576522909654,0.0803128307921903,-34.3363851549553,2.24889257693748e-258,8.36406676316149e-256
"gene-AT2G23120",9841.19694190411,-1.92424535818001,0.0560944349951348,-34.3036766186682,6.91675906260513e-258,2.53164360673987e-255
"gene-AT4G17615",2310.07029557694,-3.3922394161881,0.0992136973363085,-34.191240799033,3.26315882318896e-256,1.17570592662366e-253
"gene-AT4G04610",7811.30682609887,3.02256198471529,0.0886425168284508,34.0983321870794,7.80817833318045e-255,2.76998129515089e-252
"gene-AT2G32100",1281.39346028392,3.2214070357037,0.0947085059756553,34.01391461641,1.38737188860866e-253,4.84718308779199e-251
"gene-AT1G68050",2805.24238996236,-9.06520757571298,0.26721435740266,-33.9248521816992,2.86577680377218e-252,9.86297721166908e-250
"gene-AT2G34930",1668.50958395688,-4.35232580133457,0.128480299536344,-33.8754331756785,1.5326847974076e-251,5.19737922697381e-249
"gene-AT4G21990",9308.67527890289,2.4354716338126,0.0723069837705666,33.6823845610884,1.04701405171195e-248,3.49899956788779e-246
