#pacId	locusName	transcriptName	peptideName	Pfam	Panther	ec	KOG	KO	GO	Best-hit-arabi-name	Best-hit-arabi-defline	Best-hit-clamy-name	Best-hit-clamy-defline	Best-hit-rice-name	Best-hit-rice-defline
PAC:51212554	Qurub.01G000100	Qurub.01G000100.1	Qurub.01G000100.1												
PAC:51212557	Qurub.01G000200	Qurub.01G000200.1	Qurub.01G000200.1		PTHR35120 PTHR35120:SF2										
PAC:51211208	Qurub.01G000300	Qurub.01G000300.1	Qurub.01G000300.1												
PAC:51214089	Qurub.01G000400	Qurub.01G000400.1	Qurub.01G000400.1		PTHR33047										
PAC:51213105	Qurub.01G000500	Qurub.01G000500.1	Qurub.01G000500.1		PTHR33220 PTHR33220:SF1										
PAC:51212450	Qurub.01G000600	Qurub.01G000600.1	Qurub.01G000600.1		PTHR33187 PTHR33187:SF4										
PAC:51211816	Qurub.01G000700	Qurub.01G000700.1	Qurub.01G000700.1		PTHR33047 PTHR33047:SF4										
PAC:51211928	Qurub.01G000800	Qurub.01G000800.1	Qurub.01G000800.1		PTHR33187 PTHR33187:SF1									LOC_Os09g01000	expressed protein
PAC:51211316	Qurub.01G000900	Qurub.01G000900.1	Qurub.01G000900.1												
PAC:51211915	Qurub.01G001000	Qurub.01G001000.1	Qurub.01G001000.1		PTHR33220 PTHR33220:SF1										
PAC:51211611	Qurub.01G001100	Qurub.01G001100.1	Qurub.01G001100.1		PTHR37395 PTHR37395:SF2										
PAC:51212354	Qurub.01G001200	Qurub.01G001200.1	Qurub.01G001200.1		PTHR33047 PTHR33047:SF4										
PAC:51213047	Qurub.01G001300	Qurub.01G001300.1	Qurub.01G001300.1		PTHR33187 PTHR33187:SF1									LOC_Os09g01000	expressed protein
PAC:51211937	Qurub.01G001400	Qurub.01G001400.1	Qurub.01G001400.1		PTHR33187										
PAC:51213055	Qurub.01G001500	Qurub.01G001500.1	Qurub.01G001500.1												
PAC:51213245	Qurub.01G001600	Qurub.01G001600.1	Qurub.01G001600.1		PTHR33220 PTHR33220:SF1										
PAC:51213019	Qurub.01G001700	Qurub.01G001700.1	Qurub.01G001700.1		PTHR37395 PTHR37395:SF2										
PAC:51214387	Qurub.01G001800	Qurub.01G001800.1	Qurub.01G001800.1		PTHR33047 PTHR33047:SF4										
PAC:51211330	Qurub.01G001900	Qurub.01G001900.1	Qurub.01G001900.1		PTHR33187 PTHR33187:SF1									LOC_Os09g01000	expressed protein
PAC:51211479	Qurub.01G002000	Qurub.01G002000.1	Qurub.01G002000.1		PTHR33187										
PAC:51213711	Qurub.01G002100	Qurub.01G002100.1	Qurub.01G002100.1												
PAC:51213663	Qurub.01G002200	Qurub.01G002200.1	Qurub.01G002200.1		PTHR33220 PTHR33220:SF1										
PAC:51212804	Qurub.01G002300	Qurub.01G002300.1	Qurub.01G002300.1		PTHR33047 PTHR33047:SF4										
