Geneid	Chr	Start	End	Strand	Length	Col_0h_rep1.Aligned.sortedByCoord.out.bam	Col_0h_rep2.Aligned.sortedByCoord.out.bam	Col_0h_rep3.Aligned.sortedByCoord.out.bam	Col_3h_rep1.Aligned.sortedByCoord.out.bam	Col_3h_rep2.Aligned.sortedByCoord.out.bam	Col_3h_rep3.Aligned.sortedByCoord.out.bam
gene-AT1G01010	CP002684.1	3631	5899	+	2269	674	622	614	574	638	572
gene-AT1G01020	CP002684.1	6788	9130	-	2343	692	694	584	617	670	614
gene-AT1G03987	CP002684.1	11101	11372	+	272	0	0	0	0	0	0
gene-AT1G01030	CP002684.1	11649	13714	-	2066	251	224	206	314	344	301
gene-AT1G01040	CP002684.1	23121	31227	+	8107	2028	2213	1900	2223	2380	2036
gene-AT1G03993	CP002684.1	23312	24099	-	788	0	0	2	4	3	2
gene-AT1G01046	CP002684.1	28500	28706	+	207	0	0	0	0	0	0
gene-AT1G01050	CP002684.1	31170	33171	-	2002	3534	3309	3301	3398	3475	2891
gene-AT1G03997	CP002684.1	32727	33009	+	283	0	0	0	0	0	0
gene-AT1G01060	CP002684.1	33365	37871	-	4507	16428	15796	13145	7386	9371	6942
gene-AT1G01070	CP002684.1	38444	41017	-	2574	672	837	862	746	1036	884
gene-AT1G04003	CP002684.1	43087	43295	-	209	0	0	0	0	0	0
gene-AT1G01080	CP002684.1	44970	47059	-	2090	3834	4125	3563	3100	3610	3356
gene-AT1G01090	CP002684.1	47234	49304	-	2071	9607	9422	9712	8789	9202	8339
gene-AT1G01100	CP002684.1	49909	51210	-	1302	7249	7613	7336	6641	7393	6844
gene-AT1G01110	CP002684.1	51953	54737	+	2785	146	202	201	244	288	256
gene-AT1G01120	CP002684.1	57164	59215	-	2052	2577	2666	2960	2975	2882	2120
gene-AT1G01130	CP002684.1	61905	63811	-	1907	58	65	64	140	116	120
gene-AT1G01140	CP002684.1	64166	67774	-	3609	3826	3305	3164	8481	9491	8389
gene-AT1G01150	CP002684.1	69911	72138	-	2228	8	10	8	4	8	8
gene-AT1G01160	CP002684.1	72339	74096	+	1758	1784	1607	1598	1584	1682	1360
gene-AT1G04007	CP002684.1	72646	73108	-	463	2	0	2	0	0	0
gene-AT1G01170	CP002684.1	73931	74737	-	807	2010	1750	1816	1938	2053	1731
gene-AT1G04013	CP002684.1	74435	74683	+	249	0	0	0	0	4	0
gene-AT1G01180	CP002684.1	75390	76845	+	1456	816	758	840	718	737	602
gene-AT1G08765	CP002684.1	77537	80345	+	2809	140	130	106	60	99	68
gene-AT1G01183	CP002684.1	78927	79037	-	111	2	0	2	0	0	0
gene-AT1G01190	CP002684.1	82984	84946	-	1963	62	60	62	70	69	42
gene-AT1G01200	CP002684.1	86486	88409	-	1924	106	100	90	66	96	111
gene-AT1G01210	CP002684.1	88622	90502	+	1881	486	633	478	460	493	463
gene-AT1G04017	CP002684.1	90169	90401	-	233	0	0	0	0	0	0
gene-AT1G01220	CP002684.1	91342	95681	+	4340	1286	1231	1176	1361	1412	1364
gene-AT1G04023	CP002684.1	91356	91685	-	330	0	0	0	0	0	0
gene-AT1G01225	CP002684.1	95935	97407	+	1473	132	227	212	176	189	165
gene-AT1G01230	CP002684.1	97412	99240	+	1829	1044	1048	842	1389	1318	1271
gene-AT1G01240	CP002684.1	99865	101987	+	2123	1632	1482	1260	2044	2149	1986
gene-AT1G01250	CP002684.1	104440	105330	-	891	188	138	162	86	110	86
gene-AT1G01260	CP002684.1	108946	111699	+	2754	598	680	560	778	872	774
gene-AT1G01270	CP002684.1	111890	111961	-	72	0	0	0	0	0	0
gene-AT1G01280	CP002684.1	112263	113947	+	1685	0	0	0	0	0	0
gene-AT1G01290	CP002684.1	114202	116407	+	2206	694	658	546	524	548	554
gene-AT1G01300	CP002684.1	116784	118845	+	2062	1466	1580	1659	3304	3470	3116
gene-AT1G01305	CP002684.1	119381	119997	+	617	0	0	0	0	0	0
gene-AT1G01310	CP002684.1	120154	121130	+	977	0	2	0	4	0	0
gene-AT1G01320	CP002684.1	121067	130577	-	9511	27380	25591	26685	25727	26378	22816
gene-AT1G01335	CP002684.1	130736	130858	+	123	0	0	0	0	0	0
gene-AT1G01340	CP002684.1	132270	135924	-	3655	312	300	258	234	270	230
gene-AT1G01350	CP002684.1	136090	138162	+	2073	1100	1157	1083	1326	1370	1168
gene-AT1G01355	CP002684.1	138489	139680	+	1192	8	8	2	10	2	2
gene-AT1G01360	CP002684.1	141870	143261	+	1392	598	568	494	514	612	396
gene-AT1G01370	CP002684.1	143489	146479	+	2991	248	276	252	182	204	223
gene-AT1G01380	CP002684.1	147043	148014	+	972	18	36	48	40	28	34
gene-AT1G01390	CP002684.1	148013	149848	-	1836	188	250	176	244	452	224
gene-AT1G01400	CP002684.1	150689	152210	-	1522	1	0	0	0	0	0
gene-AT1G01410	CP002684.1	153113	154198	+	1086	0	0	0	0	0	0
gene-AT1G01420	CP002684.1	154367	156178	-	1812	490	512	396	496	530	314
gene-AT1G01430	CP002684.1	156477	158823	-	2347	5377	5638	5944	3580	3620	3099
gene-AT1G01440	CP002684.1	159628	162953	-	3326	1522	1332	1324	1756	1983	1582
gene-AT1G01448	CP002684.1	163278	166353	+	3076	750	738	710	755	690	770
gene-AT1G01450	CP002684.1	164105	165517	-	1413	0	0	0	0	0	0
gene-AT1G01453	CP002684.1	166589	168088	-	1500	4	12	8	2	0	8
gene-AT1G01460	CP002684.1	168559	171386	+	2828	0	0	0	0	0	0
gene-AT1G01470	CP002684.1	171525	172948	-	1424	2506	2630	2316	4580	5789	5074
gene-AT1G01480	CP002684.1	175706	178406	+	2701	44	78	42	64	38	45
gene-AT1G01490	CP002684.1	180017	182749	-	2733	3371	3554	3243	3123	3378	2895
gene-AT1G01500	CP002684.1	185033	187135	+	2103	522	592	518	1270	1292	1004
gene-AT1G01510	CP002684.1	187145	190472	+	3328	1818	1790	1790	2104	2376	1806
gene-AT1G01520	CP002684.1	190408	192436	+	2029	694	598	490	180	254	152
gene-AT1G01530	CP002684.1	192634	193670	-	1037	0	0	0	0	0	0
gene-AT1G01540	CP002684.1	195645	198787	+	3143	3920	3979	4030	4850	5211	4858
gene-AT1G01550	CP002684.1	199527	201775	+	2249	7422	7676	6807	9836	10597	8877
gene-AT1G01560	CP002684.1	202103	204440	+	2338	74	18	12	78	142	82
gene-AT1G01570	CP002684.1	204935	207642	+	2708	148	156	134	156	156	170
gene-AT1G01580	CP002684.1	208995	213082	+	4088	3580	5482	4346	4743	6008	3893
gene-AT1G01590	CP002684.1	214150	217734	+	3585	4	6	6	4	0	6
gene-AT1G01600	CP002684.1	218834	221286	+	2453	534	490	664	426	488	429
gene-AT1G01610	CP002684.1	221642	224351	-	2710	2271	2362	2510	2028	2128	1804
gene-AT1G01620	CP002684.1	225665	227543	-	1879	21419	22913	23145	29238	28461	28060
gene-AT1G01630	CP002684.1	228799	230979	+	2181	2121	2223	2222	1888	1897	1824
gene-AT1G01640	CP002684.1	230908	232630	-	1723	246	254	220	238	240	268
gene-AT1G01650	CP002684.1	232840	237905	-	5066	1306	1256	1261	1327	1565	1451
gene-AT1G04027	CP002684.1	234006	234159	-	154	0	0	0	0	0	0
gene-AT1G01660	CP002684.1	239841	242703	-	2863	36	24	36	38	43	46
gene-AT1G01670	CP002684.1	242713	246054	-	3342	24	30	46	28	46	50
gene-AT1G01680	CP002684.1	246262	248440	-	2179	168	10	2	12	66	6
gene-AT1G01690	CP002684.1	249041	252522	+	3482	279	344	304	262	312	276
gene-AT1G01695	CP002684.1	252626	254530	+	1905	19	14	14	26	21	34
gene-AT1G08775	CP002684.1	254830	257582	+	2753	0	0	0	0	0	0
gene-AT1G04033	CP002684.1	255022	255384	+	363	0	0	0	0	0	0
gene-AT1G04037	CP002684.1	258717	258963	-	247	0	2	0	0	2	0
gene-AT1G01700	CP002684.1	259307	261667	-	2361	52	60	58	58	42	54
gene-AT1G01710	CP002684.1	262828	266324	+	3497	2135	2057	1814	2036	2063	1863
gene-AT1G01715	CP002684.1	266333	267883	+	1551	172	154	136	206	175	186
gene-AT1G01720	CP002684.1	267993	269819	+	1827	2378	2410	2132	1960	2302	2282
gene-AT1G04043	CP002684.1	267993	268336	-	344	0	0	0	0	4	0
gene-AT1G01725	CP002684.1	269792	270859	-	1068	290	266	246	268	318	245
gene-AT1G04047	CP002684.1	270067	270517	+	451	0	0	0	0	6	0
gene-AT1G01730	CP002684.1	270797	272189	+	1393	924	793	849	815	865	818
gene-AT1G01740	CP002684.1	272111	274930	-	2820	384	311	284	301	328	276
gene-AT1G01750	CP002684.1	275188	276310	+	1123	128	100	130	72	62	98
gene-AT1G04053	CP002684.1	275473	276319	-	847	66	51	38	38	62	56
gene-AT1G01760	CP002684.1	276266	278599	-	2334	349	297	210	261	313	280
gene-AT1G04057	CP002684.1	276543	276729	+	187	0	0	0	0	0	0
gene-AT1G01770	CP002684.1	278600	282891	+	4292	963	911	937	1470	1370	1250
gene-AT1G01780	CP002684.1	282761	284245	+	1485	416	415	420	538	584	567
gene-AT1G01790	CP002684.1	284350	291203	+	6854	11334	11391	10303	9468	10103	8625
gene-AT1G04063	CP002684.1	291594	292061	-	468	0	0	0	0	0	0
gene-AT1G01800	CP002684.1	293246	295086	+	1841	2838	2956	2604	2754	2701	2580
gene-AT1G01810	CP002684.1	295207	295859	+	653	16	6	20	8	10	6
gene-AT1G01820	CP002684.1	296001	298334	-	2334	1412	1377	1351	1431	1872	1385
gene-AT1G01830	CP002684.1	298451	302310	-	3860	778	698	538	803	849	682
gene-AT1G04067	CP002684.1	303463	303977	-	515	0	2	0	2	0	0
gene-AT1G01840	CP002684.1	303537	304358	+	822	70	102	92	82	97	52
gene-AT1G01860	CP002684.1	304133	306310	-	2178	867	850	723	920	941	902
gene-AT1G04073	CP002684.1	304481	304713	+	233	0	0	0	0	1	0
gene-AT1G01870	CP002684.1	306384	306456	+	73	0	0	0	0	0	0
gene-AT1G01880	CP002684.1	306467	309541	-	3075	148	138	88	119	143	134
gene-AT1G01890	CP002684.1	309275	309347	-	73	0	0	0	0	0	0
gene-AT1G01900	CP002684.1	310169	313130	+	2962	650	796	820	764	802	550
gene-AT1G04077	CP002684.1	311828	312884	-	1057	0	0	0	6	2	2
gene-AT1G01910	CP002684.1	313101	316090	-	2990	1725	1684	1722	1986	1936	1872
gene-AT1G04083	CP002684.1	314189	314463	+	275	0	0	0	0	0	0
